Order ID,Product,Marketplace,Sell Price (INR),Net Price (INR),Profit (INR),Margin (%),Status,Date
"OD438177160134359100","Kidzfun Educational Phone Toy for 2-12 Years Kids Rechargeable 24 Modes Music Functions Multicolor","NON_FBF",0,0,0,0,"approved","2026-07-24"
"OD338177125608395100","luxelivingstore Rechargeable Musical Educational Toy Phone with Rhymes for Kids 2-10Y Multicolor","NON_FBF",0,0,0,0,"approved","2026-07-24"
"OD438176986122165100","LYNORASALE Edu Phone For Kid Multicolor","NON_FBF",0,0,0,0,"approved","2026-07-24"
"OD338176868541348100","Nilika Enterprises Educational Learning Mobile Phone Toy for Kids with Music & Lights Multicolor","NON_FBF",0,0,0,0,"approved","2026-07-24"
"OD438176816682286100","VROMLY Kids Magnetic Drawing Board with Stylus – Educational Learning Toy Yellow","NON_FBF",0,0,0,0,"cancelled","2026-07-24"
"OD338176738940846100","VEDRID Home Decor Self Adhesive Deer Head Wall Mount Key Holder Multicolor Pack of 1 Plastic Key Holder 4 Hooks  Multicolor Plastic Key Holder 4 Hooks  Black","NON_FBF",0,0,0,0,"approved","2026-07-24"
"OD338176732254843100","luxelivingstore Kids Magnetic Drawing Board with 80 Beads Educational Toy for Kids 3+Yrs Multicolor","NON_FBF",0,0,0,0,"approved","2026-07-24"
"OD338176644211365100","luxelivingstore Kids Educational Learning Phone Toy Hindi English Alphabet Number Sound Toy Multicolor","NON_FBF",0,0,0,0,"approved","2026-07-24"
"OD438176543324376100","EduToys Educational Learning Mobile Toy with 22 Features English & Hindi Learning Phone Multicolor","NON_FBF",0,0,0,0,"approved","2026-07-24"
"OD438176356388356100","luxelivingstore Magnetic Drawing Board For Kids Yellow Multicolor","NON_FBF",0,0,0,0,"approved","2026-07-24"
